Sound name;Mood
Announcement;Positive
applaus;Positive
bane gennemført type beat;Positive
EM;Neutral
FamilyStore;Positive
fuglesang;Positive
GirlScream;Negative
GlassBreaking;Negative
goblin agtig;Negative
HalloweenImpact;Negative
HarpFlourish;Neutral
HipHopBeat;Neutral
horror sweep;Negative
hundehvalp;Neutral
kuglepen;Neutral
magisk fe;Neutral
ManScream;Negative
monster growl;Negative
skrivemaskine;Neutral
Sky;Positive
splatter;Negative
stikkontakt;Neutral
Tearing;Negative
TuborgClassic;Neutral
Uprise;Positive
WeirdoScream;Negative
