TestNr.;Age;Female;Hearing;Blindfold?;ReactionTime;SoundName;SoundMood;SpeakerNr;Precision
4;21;False;7;True;2.870;Monster growl;Negative;8;0
4;21;False;7;True;7.491;Kuglepen;Neutral;6;0
4;21;False;7;True;28.06;applaus;Positive;5;5
4;21;False;7;True;1.928;Glass Breaking;Negative;2;-3
4;21;False;7;True;3.840;Stikkontakt;Neutral;2;5
4;21;False;7;True;36.39;Uprise;Positive;8;1
4;21;False;7;True;6.186;Weirdo scream;Negative;8;-1
4;21;False;7;True;2.528;HipHop beat;Neutral;2;4
4;21;False;7;True;2.025;Harp floursih;Positive;5;1
4;21;False;7;True;4.648;Girl Scream;Negative;2;-4
4;21;False;7;True;15.99;Chatter;Neutral;5;4
4;21;False;7;True;10.23;Level complete;Positive;1;-4
4;21;False;7;True;2.439;Man scream;Negative;2;-4
4;21;False;7;True;1.105;Skrivemaskine;Neutral;1;-5
4;21;False;7;True;16.01;Announcement;Positive;2;5
