Sound name;Mood
Announcement;Positive
applaus;Positive
bane gennemført type beat;Positive
EM;Neutral
FamilyStore;Positive
fuglesang;Positive
GirlScream;Negative
GlassBreaking;Negative
goblin agtig;Negative
HalloweenImpact;Neutral
HarpFlourish;Positive
HipHopBeat;Neutral
horror sweep;Negative
hundehvalp;Positive
kuglepen;Neutral
magisk fe;Positive
ManScream;Negative
monster growl;Negative
skrivemaskine;Neutral
Sky;Neutral
splatter;Neutral
stikkontakt;Neutral
Tearing;Neutral
TuborgClassic;Positive
Uprise;Positive
WeirdoScream;Negative
