Sound name;Mood
Announcement;Positive
applaus;Positive
bane gennemført type beat;Positive
EM;Neutral
FamilyStore;Positive
fuglesang;Neutral
GirlScream;Negative
GlassBreaking;Negative
goblin agtig;Negative
HalloweenImpact;Negative
HarpFlourish;Positive
HipHopBeat;Neutral
horror sweep;Negative
hundehvalp;Positive
kuglepen;Neutral
magisk fe;Neutral
ManScream;Negative
monster growl;Negative
skrivemaskine;Neutral
Sky;Neutral
splatter;Negative
stikkontakt;Neutral
Tearing;Neutral
TuborgClassic;Neutral
Uprise;Neutral
WeirdoScream;Negative
