TestNr.;Age;Female;Hearing;Blindfold?;ReactionTime;SoundName;SoundMood;SpeakerNr;Precision
8;25;False;7;False;11.74;Weirdo scream;Negative;5;5
8;25;False;7;False;6.981;Kuglepen;Neutral;2;-1
8;25;False;7;False;2.431;Announcement;Positive;2;-5
8;25;False;7;False;13.68;Girl Scream;Negative;6;-4
8;25;False;7;False;3.783;Stikkontakt;Neutral;2;-5
8;25;False;7;False;36.08;Level complete;Positive;8;-3
8;25;False;7;False;1.714;Man scream;Negative;1;-5
8;25;False;7;False;12.76;HipHop beat;Neutral;5;-4
8;25;False;7;False;25.66;applaus;Positive;5;-1
8;25;False;7;False;27.57;Glass Breaking;Negative;8;5
8;25;False;7;False;11.76;Skrivemaskine;Neutral;7;4
8;25;False;7;False;1.606;Harp floursih;Positive;2;2
8;25;False;7;False;5.280;Monster growl;Negative;5;-2
8;25;False;7;False;5.973;Chatter;Neutral;5;4
8;25;False;7;False;2.426;Uprise;Positive;2;-4
