Sound name;Mood
Announcement;Positive
applaus;Positive
bane gennemført type beat;Positive
EM;Neutral
FamilyStore;Neutral
fuglesang;Positive
GirlScream;Negative
GlassBreaking;Negative
goblin agtig;Negative
HalloweenImpact;Negative
HarpFlourish;Positive
HipHopBeat;Neutral
horror sweep;Negative
hundehvalp;Neutral
kuglepen;Neutral
magisk fe;Negative
ManScream;Negative
monster growl;Negative
skrivemaskine;Neutral
Sky;Neutral
splatter;Negative
stikkontakt;Neutral
Tearing;Negative
TuborgClassic;Positive
Uprise;Positive
WeirdoScream;Negative
