Sound name;Mood
Announcement;Positive
applaus;Positive
bane gennemført type beat;Neutral
EM;Neutral
FamilyStore;Positive
fuglesang;Positive
GirlScream;Negative
GlassBreaking;Negative
goblin agtig;Neutral
HalloweenImpact;Neutral
HarpFlourish;Neutral
HipHopBeat;Positive
horror sweep;Neutral
hundehvalp;Neutral
kuglepen;Neutral
magisk fe;Positive
ManScream;Negative
monster growl;Neutral
skrivemaskine;Neutral
Sky;Positive
splatter;Neutral
stikkontakt;Positive
Tearing;Negative
TuborgClassic;Neutral
Uprise;Positive
WeirdoScream;Negative
