TestNr.;Age;Female;Hearing;Blindfold?;ReactionTime;SoundName;SoundMood;SpeakerNr;Precision
4;21;False;7;False;1.733;Man scream;Negative;1;-5
4;21;False;7;False;1.915;Skrivemaskine;Neutral;6;-5
4;21;False;7;False;2.335;Level complete;Positive;1;2
4;21;False;7;False;9.411;Glass Breaking;Negative;5;-1
4;21;False;7;False;0.913;HipHop beat;Neutral;7;1
4;21;False;7;False;1.937;Harp floursih;Positive;1;0
4;21;False;7;False;22.29;Weirdo scream;Negative;7;4
4;21;False;7;False;3.758;Kuglepen;Neutral;7;-4
4;21;False;7;False;2.725;applaus;Positive;8;2
4;21;False;7;False;1.301;Monster growl;Negative;5;-1
4;21;False;7;False;5.710;Chatter;Neutral;1;1
4;21;False;7;False;1.919;Uprise;Positive;7;0
4;21;False;7;False;1.427;Girl Scream;Negative;2;-1
4;21;False;7;False;7.084;Stikkontakt;Neutral;5;-5
4;21;False;7;False;4.555;Announcement;Positive;8;1
