Sound name;Mood
Announcement;Positive
applaus;Positive
bane gennemført type beat;Positive
EM;Negative
FamilyStore;Neutral
fuglesang;Neutral
GirlScream;Negative
GlassBreaking;Negative
goblin agtig;Negative
HalloweenImpact;Negative
HarpFlourish;Positive
HipHopBeat;Neutral
horror sweep;Negative
hundehvalp;Positive
kuglepen;Neutral
magisk fe;Positive
ManScream;Negative
monster growl;Negative
skrivemaskine;Neutral
Sky;Neutral
splatter;Negative
stikkontakt;Neutral
Tearing;Negative
TuborgClassic;Positive
Uprise;Positive
WeirdoScream;Negative
