TestNr.;Age;Female;Hearing;Blindfold?;ReactionTime;SoundName;SoundMood;SpeakerNr;Precision
9;25;False;7;False;2.283;Man scream;Negative;5;0
9;25;False;7;False;96.85;Kuglepen;Neutral;6;-5
9;25;False;7;False;1.116;Announcement;Positive;7;-1
9;25;False;7;False;22.35;Girl Scream;Negative;1;-2
9;25;False;7;False;12.43;Stikkontakt;Neutral;2;1
9;25;False;7;False;12.24;Level complete;Positive;2;-4
9;25;False;7;False;16.31;Weirdo scream;Negative;7;-2
9;25;False;7;False;1.855;Skrivemaskine;Neutral;1;-5
9;25;False;7;False;1.309;Harp floursih;Positive;7;-3
9;25;False;7;False;10.13;Glass Breaking;Negative;2;-4
9;25;False;7;False;19.61;Chatter;Neutral;5;-1
9;25;False;7;False;3.867;Uprise;Positive;1;-2
9;25;False;7;False;1.421;Monster growl;Negative;8;-1
9;25;False;7;False;2.646;HipHop beat;Neutral;2;3
9;25;False;7;False;13.56;applaus;Positive;6;-5
